RunNo,Restart,Cost,Time,InitialSolutionGenerationTime,Iterations,HeuristicCalls,HeuristicQueenCalls,AvgNumIterationsBeforeLocalMinima
0,10,0,1.828125,0.0,556,1112,59492,0
1,23,0,3.8125,0.0,1219,2438,130433,0
2,7,0,1.40625,0.0,394,788,42158,0
3,11,0,2.046875,0.0,602,1204,64414,0
4,0,0,0.203125,0.0,49,98,5243,0
5,8,0,1.703125,0.0,453,906,48471,0
6,0,0,0.15625,0.0,44,88,4708,0
7,16,0,2.9375,0.0,864,1728,92448,0
8,2,0,0.5,0.0,153,306,16371,0
9,5,0,1.125,0.0,298,596,31886,0
10,36,0,6.890625,0.015625,1885,3770,201695,0
11,1,0,0.390625,0.0,95,190,10165,0
12,37,0,7.421875,0.0,1931,3862,206617,0
13,17,0,3.90625,0.0,915,1830,97905,0
14,1,0,0.40625,0.0,100,200,10700,0
15,2,0,0.609375,0.0,143,286,15301,0
16,5,0,1.296875,0.0,305,610,32635,0
17,17,0,3.84375,0.0,913,1826,97691,0
18,8,0,2.0,0.0,459,918,49113,0
19,12,0,2.546875,0.015625,651,1302,69657,0
20,27,0,5.375,0.0,1421,2842,152047,0
21,16,0,3.390625,0.0,856,1712,91592,0
22,3,0,0.5625,0.0,198,396,21186,0
23,6,0,1.203125,0.0,347,694,37129,0
24,2,0,0.546875,0.0,149,298,15943,0
25,8,0,1.484375,0.0,457,914,48899,0
26,8,0,1.40625,0.0,456,912,48792,0
27,12,0,2.140625,0.0,661,1322,70727,0
28,6,0,1.15625,0.015625,352,704,37664,0
29,19,0,4.0,0.0,1013,2026,108391,0
30,31,0,5.171875,0.0,1631,3262,174517,0
31,3,0,0.59375,0.0,202,404,21614,0
32,9,0,2.1875,0.0,510,1020,54570,0
33,0,0,0.25,0.0,51,102,5457,0
34,12,0,2.953125,0.0,660,1320,70620,0
35,0,0,0.203125,0.0,42,84,4494,0
36,0,0,0.234375,0.0,47,94,5029,0
37,25,0,5.828125,0.0,1320,2640,141240,0
38,3,0,0.640625,0.0,204,408,21828,0
39,2,0,0.515625,0.0,138,276,14766,0
40,9,0,1.609375,0.015625,508,1016,54356,0
41,3,0,0.671875,0.0,201,402,21507,0
42,10,0,1.84375,0.0,556,1112,59492,0
43,3,0,0.625,0.0,193,386,20651,0
44,5,0,0.90625,0.0,304,608,32528,0
45,3,0,0.71875,0.0,199,398,21293,0
46,1,0,0.3125,0.0,101,202,10807,0
47,5,0,1.03125,0.0,301,602,32207,0
48,2,0,0.515625,0.0,141,282,15087,0
49,3,0,0.59375,0.0,196,392,20972,0
50,2,0,0.4375,0.0,135,270,14445,0
51,5,0,1.0,0.0,299,598,31993,0
52,2,0,0.53125,0.0,138,276,14766,0
53,6,0,1.25,0.0,353,706,37771,0
54,7,0,1.203125,0.0,402,804,43014,0
55,17,0,2.765625,0.0,913,1826,97691,0
56,3,0,1.34375,0.0,197,394,21079,0
57,6,0,1.015625,0.0,349,698,37343,0
58,14,0,2.3125,0.0,765,1530,81855,0
59,25,0,4.046875,0.0,1322,2644,141454,0
60,36,0,5.9375,0.0,1874,3748,200518,0
61,9,0,1.515625,0.0,505,1010,54035,0
62,20,0,3.1875,0.0,1063,2126,113741,0
63,7,0,1.25,0.0,404,808,43228,0
64,2,0,0.40625,0.0,148,296,15836,0
65,17,0,3.53125,0.0,917,1834,98119,0
66,21,0,3.34375,0.0,1121,2242,119947,0
67,23,0,3.546875,0.0,1222,2444,130754,0
68,12,0,1.96875,0.0,659,1318,70513,0
69,19,0,2.9375,0.015625,1009,2018,107963,0
70,8,0,1.453125,0.0,458,916,49006,0
71,3,0,0.53125,0.0,203,406,21721,0
72,2,0,0.40625,0.0,137,274,14659,0
73,6,0,1.046875,0.0,351,702,37557,0
74,9,0,1.46875,0.0,510,1020,54570,0
75,18,0,2.953125,0.0,964,1928,103148,0
76,11,0,1.78125,0.0,602,1204,64414,0
77,3,0,0.53125,0.0,202,404,21614,0
78,8,0,1.3125,0.0,456,912,48792,0
79,18,0,3.59375,0.0,964,1928,103148,0
80,18,0,2.71875,0.0,953,1906,101971,0
81,2,0,0.390625,0.0,148,296,15836,0
82,3,0,0.65625,0.0,195,390,20865,0
83,21,0,3.1875,0.0,1110,2220,118770,0
84,4,0,0.6875,0.0,252,504,26964,0
85,2,0,0.390625,0.0,146,292,15622,0
86,3,0,0.546875,0.0,202,404,21614,0
87,10,0,1.546875,0.0,553,1106,59171,0
88,8,0,1.1875,0.0,451,902,48257,0
89,2,0,0.4375,0.0,152,304,16264,0
90,0,0,0.140625,0.0,47,94,5029,0
91,2,0,0.359375,0.0,137,274,14659,0
92,27,0,3.921875,0.0,1424,2848,152368,0
93,3,0,0.53125,0.0,197,394,21079,0
94,2,0,0.390625,0.0,151,302,16157,0
95,1,0,0.25,0.0,88,176,9416,0
96,0,0,0.109375,0.0,46,92,4922,0
97,21,0,3.75,0.0,1119,2238,119733,0
98,19,0,3.390625,0.0,1015,2030,108605,0
99,7,0,1.3125,0.0,408,816,43656,0
